PARTICIPANT_ID,EXPERIMENT_STARTED,PC_NAME,TRIALS,EMS_NUMBER,AGE,VISION,DEBRIEFING,RANK,IS_THREATENING,SPATIAL_FREQUENCY,CONTRAST-NORMALIZATION,IMG_NAME,MASK_NAME,KEY_PRESSED,CORRECT_ANSWER,REACTION_TIME_IN_MILLIES,EST_DISPLAY_TIME
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,87,non-threatening,LSF,contrast-normalized,salamander 24_LSF_norm,/mask014.png,l,True,27.018,499.375
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,88,non-threatening,HSF,contrast-normalized,salamander 2_HSF_norm,/mask076.png,l,True,556.397,500.468
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,89,non-threatening,HSF,contrast-normalized,vlieg 14_HSF_norm,/mask015.png,l,True,249.163,499.73
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,90,non-threatening,NoFilter,contrast-normalized,salamander 7_FS_norm,/mask027.png,l,True,475.322,499.104
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,91,threatening,HSF,no-normalization,wesp 18_HSF_unnorm,/mask016.png,l,False,155.097,499.668
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,92,threatening,LSF,contrast-normalized,wesp 21_LSF_norm,/mask095.png,l,False,207.146,500.119
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,93,threatening,NoFilter,contrast-normalized,slang 15_FS_norm,/mask002.png,s,True,849.582,499.71
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,94,non-threatening,LSF,contrast-normalized,vlieg 20_LSF_norm,/mask059.png,s,False,514.362,500.299
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,95,non-threatening,HSF,no-normalization,salamander 10_HSF_unnorm,/mask092.png,s,False,449.303,500.515
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,96,threatening,LSF,contrast-normalized,wesp 27_LSF_norm,/mask081.png,s,True,394.253,499.532
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,97,non-threatening,HSF,no-normalization,vlieg 16_HSF_unnorm,/mask048.png,l,True,550.401,500.662
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,98,threatening,HSF,contrast-normalized,wesp 11_HSF_norm,/mask012.png,l,False,379.254,500.711
88,20/03/2021 21:30:48,PC_1,100,45,56,X,Y,99,non-threatening,HSF,contrast-normalized,vlieg 8_HSF_norm,/mask052.png,s,False,319.229,499.774
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,0,non-threatening,LSF,contrast-normalized,salamander 17_LSF_norm,/mask024.png,s,True,420.291,67.276
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,1,non-threatening,NoFilter,contrast-normalized,vlieg 5_FS_norm,/mask066.png,s,True,301.228,66.803
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,2,non-threatening,HSF,contrast-normalized,salamander 18_HSF_norm,/mask009.png,s,True,252.178,66.614
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,3,threatening,LSF,contrast-normalized,Slang 4_LSF_norm,/mask016.png,s,False,301.212,66.064
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,4,non-threatening,LSF,no-normalization,salamander 19_LSF_unnorm,/mask076.png,s,True,276.202,66.671
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,5,non-threatening,LSF,contrast-normalized,vlieg 26_LSF_norm,/mask091.png,s,True,228.143,66.001
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,6,threatening,HSF,no-normalization,slang 16_HSF_unnorm,/mask049.png,s,False,326.229,66.73
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,7,threatening,HSF,no-normalization,wesp 7_HSF_unnorm,/mask086.png,l,True,44.026,66.925
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,8,non-threatening,HSF,no-normalization,vlieg 22_HSF_unnorm,/mask087.png,s,True,286.22,67.15
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,9,threatening,NoFilter,contrast-normalized,Slang 7_FS_norm,/mask035.png,s,False,732.222,66.532
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,10,threatening,LSF,contrast-normalized,wesp 28_LSF_norm,/mask021.png,s,False,65.751,66.729
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,11,non-threatening,LSF,no-normalization,salamander 22_LSF_unnorm,/mask034.png,s,True,514.362,66.65
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,12,threatening,HSF,contrast-normalized,hoornaar 2_HSF_norm,/mask036.png,s,False,424.282,66.959
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,13,threatening,NoFilter,contrast-normalized,Slang 22_FS_norm,/mask054.png,s,False,282.217,66.299
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,14,threatening,LSF,no-normalization,slang 20_LSF_unnorm,/mask062.png,l,True,178.108,66.702
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,15,non-threatening,HSF,contrast-normalized,vlieg 28_HSF_norm,/mask080.png,l,False,245.173,66.387
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,16,threatening,HSF,contrast-normalized,wesp 18_HSF_norm,/mask043.png,l,True,765.54,66.74
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,17,non-threatening,NoFilter,contrast-normalized,salamander 25_FS_norm,/mask055.png,l,False,914.349,66.098
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,18,threatening,HSF,contrast-normalized,hoornaar 1_HSF_norm,/mask012.png,l,True,281.198,66.697
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,19,non-threatening,HSF,no-normalization,vlieg 12_HSF_unnorm,/mask064.png,l,False,545.399,67.035
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,20,threatening,HSF,no-normalization,Slang 27_HSF_unnorm,/mask063.png,l,True,350.67,66.683
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,21,threatening,NoFilter,contrast-normalized,wesp 10_FS_norm,/mask047.png,l,True,164.23,67.63
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,22,non-threatening,LSF,contrast-normalized,salamander 28_LSF_norm,/mask019.png,l,False,374.264,66.838
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,23,threatening,NoFilter,contrast-normalized,wesp 14_FS_norm,/mask074.png,l,True,745.948,66.839
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,24,threatening,HSF,contrast-normalized,wesp 4_HSF_norm,/mask042.png,l,True,270.891,66.254
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,25,threatening,HSF,no-normalization,wesp 16_HSF_unnorm,/mask026.png,l,True,439.123,66.63
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,26,non-threatening,HSF,contrast-normalized,salamander 4_HSF_norm,/mask004.png,l,False,688.305,67.105
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,27,threatening,HSF,contrast-normalized,Slang 6_HSF_norm,/mask085.png,l,True,103.072,67.397
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,28,non-threatening,NoFilter,contrast-normalized,salamander 1_FS_norm,/mask079.png,l,False,645.158,67.056
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,29,threatening,NoFilter,contrast-normalized,wesp 19_FS_norm,/mask025.png,l,True,205.833,66.423
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,30,non-threatening,HSF,no-normalization,vlieg 25_HSF_unnorm,/mask027.png,l,False,864.296,66.622
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,31,non-threatening,NoFilter,contrast-normalized,vlieg 23_FS_norm,/mask099.png,l,False,41.049,67.006
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,32,threatening,NoFilter,contrast-normalized,wesp 13_FS_norm,/mask010.png,l,True,434.301,66.704
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,33,threatening,LSF,no-normalization,slang 13_LSF_unnorm,/mask050.png,l,True,228.139,67.371
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,34,non-threatening,LSF,no-normalization,vlieg 27_LSF_unnorm,/mask051.png,l,False,62.044,67.181
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,35,non-threatening,LSF,contrast-normalized,vlieg 13_LSF_norm,/mask005.png,l,False,550.387,67.476
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,36,non-threatening,HSF,contrast-normalized,vlieg 15_HSF_norm,/mask039.png,l,False,299.212,67.047
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,37,non-threatening,HSF,no-normalization,salamander 11_HSF_unnorm,/mask020.png,l,False,314.204,66.625
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,38,non-threatening,LSF,no-normalization,vlieg 14_LSF_unnorm,/mask023.png,l,False,226.149,66.842
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,39,non-threatening,NoFilter,contrast-normalized,salamander 10_FS_norm,/mask031.png,l,False,347.245,66.977
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,40,threatening,NoFilter,contrast-normalized,slang 30_FS_norm,/mask032.png,l,True,264.168,66.848
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,41,non-threatening,HSF,no-normalization,salamander 16_HSF_unnorm,/mask067.png,l,False,169.12,66.749
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,42,threatening,LSF,contrast-normalized,Slang 3_LSF_norm,/mask007.png,l,True,293.202,66.55
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,43,threatening,HSF,no-normalization,slang 21_HSF_unnorm,/mask093.png,l,True,340.24,67.296
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,44,threatening,LSF,contrast-normalized,wesp 17_LSF_norm,/mask030.png,l,True,314.221,67.311
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,45,threatening,NoFilter,contrast-normalized,slang 17_FS_norm,/mask058.png,l,True,304.21,66.006
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,46,threatening,HSF,no-normalization,Slang 8_HSF_unnorm,/mask022.png,l,True,279.202,66.593
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,47,non-threatening,NoFilter,contrast-normalized,salamander 9_FS_norm,/mask070.png,l,False,295.215,66.717
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,48,non-threatening,NoFilter,contrast-normalized,vlieg 31_FS_norm,/mask018.png,l,False,342.254,66.301
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,49,threatening,HSF,no-normalization,wesp 11_HSF_unnorm,/mask084.png,l,True,419.291,66.581
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,50,non-threatening,LSF,contrast-normalized,salamander 27_LSF_norm,/mask038.png,l,False,310.22,66.731
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,51,threatening,LSF,no-normalization,Slang 1_LSF_unnorm,/mask052.png,l,True,452.321,66.408
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,52,threatening,HSF,contrast-normalized,Slang 2_HSF_norm,/mask097.png,l,True,277.212,66.742
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,53,non-threatening,NoFilter,contrast-normalized,salamander 3_FS_norm,/mask048.png,l,False,636.444,66.682
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,54,non-threatening,LSF,contrast-normalized,vlieg 6_LSF_norm,/mask014.png,l,False,679.464,66.544
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,55,threatening,HSF,contrast-normalized,wesp 5_HSF_norm,/mask033.png,l,True,135.096,66.233
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,56,threatening,LSF,no-normalization,slang 15_LSF_unnorm,/mask089.png,l,True,236.15,65.865
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,57,non-threatening,LSF,no-normalization,vlieg 19_LSF_unnorm,/mask078.png,l,False,237.185,66.48
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,58,threatening,LSF,no-normalization,slang 29_LSF_unnorm,/mask008.png,l,True,702.495,66.861
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,59,threatening,LSF,no-normalization,wesp 23_LSF_unnorm,/mask017.png,l,True,173.122,66.768
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,60,threatening,HSF,contrast-normalized,Slang 10_HSF_norm,/mask096.png,l,True,257.176,66.832
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,61,non-threatening,HSF,no-normalization,salamander 7_HSF_unnorm,/mask003.png,l,False,99.071,67.168
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,62,threatening,LSF,contrast-normalized,wesp 6_LSF_norm,/mask000.png,l,True,161.108,67.145
569,20/03/2021 21:55:21,PC_1,100,22,455,T,T,63,non-threatening,HSF,no-normalization,vlieg 17_HSF_unnorm,/mask059.png,l,False,302.195,66.707
